permit_id,name,description,comment,grade,timestamp
1,_*_,"Superuser - can do anything",,10,"2014-08-02 22:33:56"
2,org_edit,"Add, change, delete organizations",,5,"2014-08-02 22:33:56"
3,person_edit,"Add, change, delete persons",,5,"2014-08-02 22:33:56"
4,assign_permits,"Grant/revoke permissions",,5,"2014-08-02 22:33:56"
5,project_edit,"Add, change projects","Projects are not deleted.  Only the INACTIVE_ASOF date is set.",5,"2014-08-02 22:33:56"
6,task_edit,"Add, change tasks","Tasks are not deleted.  Only the INACTIVE_ASOF date is set.",5,"2014-08-02 22:33:56"
7,subtask_edit,"Add, change subtasks","Subtasks are not deleted.  Only the INACTIVE_ASOF date is set.",5,"2014-08-02 22:33:56"
8,account_edit,"Add, change accounts","Accounts are not deleted.  Only the INACTIVE_ASOF date is set.",5,"2014-08-02 22:33:56"
9,project_logs,"Download project timelogs",,5,"2014-08-02 22:33:56"
10,edit_logs,"Edit logs of any person in the org",,5,"2014-08-02 22:33:56"
11,reports,"download reports","ie. taskreport",5,"2014-08-02 22:33:56"
12,set_rates,"Set hourly rates",,5,"2014-08-02 22:33:56"
13,accounting_edit,"Add, change accounts lists",,5,"2014-08-02 22:33:56"
