project_id,organization_idref,accounting_idref,name,description,comment,inactive_asof,close_date,timestamp
1,1,1,TAM,"Transportation Authority of Marin contract",,,2014-06-30,"2014-07-29 20:42:41"
2,1,0,MCBC,"Non-TAM related SR2S project",,,2014-06-30,"2014-07-29 20:42:41"
3,1,0,MTC,"Spare the Air Grants",,,2014-06-30,"2014-07-29 20:42:41"
