person_permit_id,person_idref,permit_idref,organization_idref,project_idref,timestamp
1,25,8,1,0,"2015-06-12 02:19:32"
2,25,4,1,0,"2015-06-12 02:19:32"
3,25,3,1,0,"2015-06-12 02:19:32"
4,25,10,1,1,"2015-06-12 02:19:32"
5,25,9,1,1,"2015-06-12 02:19:32"
6,25,11,1,1,"2015-06-12 02:19:32"
7,25,12,1,1,"2015-06-12 02:19:32"
8,25,7,1,1,"2015-06-12 02:19:32"
9,25,6,1,1,"2015-06-12 02:19:32"
10,30,9,1,1,"2015-06-12 02:20:03"
11,30,11,1,1,"2015-06-12 02:20:03"
