person_permit_id,person_idref,permit_idref,organization_idref,project_idref,timestamp
1,1,4,1,0,"2015-06-11 16:53:13"
2,1,9,1,1,"2015-06-11 16:53:13"
3,1,11,1,1,"2015-06-11 16:53:13"
4,1,12,1,1,"2015-06-11 16:53:13"
5,1,7,1,1,"2015-06-11 16:53:13"
6,1,6,1,1,"2015-06-11 16:53:13"
7,25,9,1,1,"2015-06-11 16:53:49"
8,25,11,1,1,"2015-06-11 16:53:49"
9,25,12,1,1,"2015-06-11 16:53:49"
