project_id,organization_idref,accounting_idref,name,description,comment,inactive_asof,close_date,timestamp
1,1,1,TAM,"Transportation Authority of Marin contract",,,2015-05-26,"2015-06-26 21:58:10"
2,1,1,MCBC,"Non-TAM related SR2S project",,,2015-05-26,"2015-06-26 21:58:10"
3,1,1,MTC,"Spare the Air Grants",,,2015-05-26,"2015-06-26 21:58:10"
